id,referencia,marca,capacidad,ciudad,responsable
715,ach01,rico,187,caucacia,jairo
5090,ach02,kalley,123,yolombo,luzma
6016,ach03,kalley,168,bello,luzma
8365,ach01,kalley,123,bello,luzma
7982,ach03,sony,198,yolombo,jairo
7197,ach01,sony,146,yolombo,luzma
5363,ach02,rico,154,caucacia,carlos
9212,ach02,rico,161,bello,rosa
2367,ach01,kalley,184,bello,rosa
6501,ach02,rico,158,caucacia,jaime
5329,ach01,rico,178,"medellin,",luzma
619,ach02,kalley,143,bolombolo,carlos
9593,ach01,rico,135,caucacia,rosa
8200,ach02,rico,125,yolombo,jairo
8855,ach02,sony,181,"medellin,",jairo
4897,ach01,kalley,194,caucacia,luzma
2177,ach03,rico,195,bolombolo,jairo
837,ach01,rico,152,bolombolo,jaime
8866,ach01,kalley,148,bello,carlos
8020,ach03,sony,167,bello,jairo
8771,ach01,rico,188,caucacia,luzma
6243,ach02,rico,199,yolombo,jaime
153,ach01,kalley,195,yolombo,luzma
5551,ach03,kalley,127,yolombo,rosa
6087,ach02,sony,192,bello,carlos
6618,ach02,sony,100,"medellin,",luzma
462,ach03,kalley,194,bello,jaime
7521,ach02,sony,117,caucacia,jairo
4225,ach03,rico,129,"medellin,",jairo
3923,ach03,sony,175,yolombo,luzma
9620,ach02,rico,164,"medellin,",carlos
8236,ach03,rico,196,bolombolo,jairo
1922,ach02,kalley,157,bello,jaime
6791,ach02,kalley,140,bolombolo,carlos
265,ach03,kalley,178,yolombo,carlos
7963,ach01,rico,103,caucacia,rosa
7900,ach01,sony,146,"medellin,",jaime
5545,ach01,sony,135,caucacia,jaime
7856,ach02,rico,177,caucacia,jaime
7580,ach02,sony,165,bello,jairo
3159,ach03,rico,113,yolombo,rosa
7443,ach02,sony,125,bolombolo,jairo
649,ach02,sony,110,"medellin,",luzma
4407,ach03,rico,130,"medellin,",jaime
3382,ach02,kalley,180,bolombolo,luzma
6679,ach02,rico,190,bello,jairo
4781,ach02,rico,144,"medellin,",luzma
7929,ach01,kalley,191,bello,luzma
9443,ach03,kalley,142,caucacia,rosa
4290,ach03,kalley,188,bolombolo,rosa
789,ach01,sony,185,"medellin,",jaime
2785,ach01,sony,104,bolombolo,carlos
3923,ach03,kalley,185,bello,carlos
7322,ach02,sony,200,caucacia,rosa
4207,ach01,kalley,172,yolombo,carlos
9144,ach01,rico,107,yolombo,carlos
7696,ach03,sony,114,bello,jaime
3512,ach02,rico,120,"medellin,",jairo
7749,ach01,kalley,120,yolombo,luzma
4586,ach01,rico,167,caucacia,rosa
6583,ach03,sony,100,bello,luzma
5566,ach02,kalley,161,bolombolo,luzma
2817,ach03,rico,134,"medellin,",rosa
1485,ach02,sony,110,"medellin,",rosa
9878,ach02,sony,178,yolombo,jaime
1040,ach02,kalley,187,yolombo,carlos
6406,ach01,rico,137,caucacia,luzma
3899,ach02,sony,191,caucacia,rosa
6583,ach01,rico,135,bello,carlos
59,ach01,sony,128,bolombolo,jairo
2400,ach01,rico,115,bello,carlos
3611,ach02,kalley,109,yolombo,carlos
638,ach01,sony,140,"medellin,",rosa
8632,ach01,rico,113,bello,jaime
7128,ach03,sony,114,caucacia,luzma
6428,ach01,rico,197,bello,jaime
3054,ach03,sony,184,bello,luzma
1977,ach03,rico,115,yolombo,rosa
636,ach03,rico,196,bello,carlos
8373,ach02,rico,111,"medellin,",jairo
3058,ach02,kalley,115,"medellin,",luzma
2638,ach01,sony,107,caucacia,luzma
4687,ach02,kalley,109,yolombo,jaime
6138,ach01,kalley,109,bolombolo,jaime
5818,ach03,sony,139,yolombo,rosa
7317,ach03,sony,197,bello,jairo
515,ach02,kalley,129,"medellin,",carlos
6538,ach02,rico,140,bolombolo,luzma
9523,ach03,kalley,184,yolombo,luzma
5670,ach01,sony,160,yolombo,carlos
6195,ach01,sony,149,yolombo,jairo
7628,ach03,sony,150,caucacia,rosa
9039,ach02,rico,143,bello,carlos
8768,ach03,rico,170,bolombolo,carlos
7081,ach02,rico,172,yolombo,jaime
2283,ach01,kalley,124,caucacia,carlos
1475,ach02,sony,188,"medellin,",jaime
9945,ach03,kalley,156,"medellin,",jaime
8050,ach03,rico,116,bolombolo,rosa
609,ach01,rico,193,bolombolo,rosa
3046,ach03,sony,147,bolombolo,carlos
6661,ach03,sony,173,yolombo,luzma
3525,ach01,rico,133,yolombo,jairo
1393,ach03,kalley,109,bolombolo,carlos
450,ach01,kalley,154,caucacia,carlos
3742,ach01,rico,144,"medellin,",rosa
7204,ach03,kalley,104,yolombo,jairo
2009,ach03,sony,200,bolombolo,carlos
7742,ach02,rico,191,"medellin,",jaime
5009,ach01,sony,196,yolombo,luzma
438,ach02,kalley,135,bello,luzma
3246,ach03,kalley,106,caucacia,luzma
8300,ach03,sony,186,caucacia,carlos
2114,ach02,kalley,140,bello,luzma
2031,ach02,kalley,103,yolombo,luzma
601,ach01,kalley,192,bello,rosa
6201,ach03,kalley,125,caucacia,jairo
1852,ach02,rico,168,"medellin,",rosa
5323,ach02,rico,169,caucacia,carlos
4261,ach03,kalley,189,yolombo,rosa
9239,ach01,kalley,192,caucacia,jaime
3592,ach01,kalley,100,caucacia,luzma
2828,ach03,sony,154,"medellin,",rosa
4052,ach01,rico,186,caucacia,jairo
1610,ach02,kalley,197,"medellin,",carlos
4232,ach01,kalley,132,yolombo,rosa
7889,ach01,rico,187,bolombolo,carlos
1762,ach03,rico,139,caucacia,jairo
2411,ach01,sony,153,bolombolo,jairo
7128,ach02,kalley,137,bello,jaime
769,ach02,sony,107,yolombo,carlos
9050,ach02,kalley,135,bolombolo,jairo
5280,ach03,kalley,112,yolombo,luzma
6789,ach01,kalley,116,bello,jaime
524,ach02,rico,174,bolombolo,carlos
9827,ach03,sony,119,bolombolo,jairo
8970,ach02,sony,192,yolombo,rosa
6426,ach01,rico,131,bolombolo,luzma
2099,ach03,kalley,141,caucacia,jaime
7652,ach03,rico,109,bolombolo,luzma
2989,ach01,sony,140,bolombolo,carlos
5429,ach03,kalley,132,caucacia,carlos
1821,ach03,kalley,103,bello,jaime
3635,ach03,sony,136,bello,rosa
4254,ach02,sony,185,"medellin,",jaime
6227,ach01,rico,168,bolombolo,rosa
128,ach03,kalley,131,bolombolo,carlos
1029,ach02,rico,165,bolombolo,jaime
4181,ach02,kalley,164,bello,rosa
2887,ach01,sony,152,"medellin,",luzma
2392,ach01,sony,104,bello,luzma
7185,ach02,rico,123,"medellin,",carlos
1942,ach02,kalley,189,bolombolo,rosa
5596,ach02,sony,185,yolombo,luzma
5027,ach01,rico,159,caucacia,rosa
1193,ach02,sony,119,bolombolo,luzma
4665,ach03,rico,150,bello,jairo
2733,ach01,rico,163,bolombolo,luzma
4318,ach01,kalley,197,bello,jairo
5543,ach02,rico,182,bolombolo,luzma
9770,ach03,kalley,171,caucacia,jairo
582,ach02,kalley,162,yolombo,rosa
4652,ach03,kalley,198,"medellin,",carlos
8546,ach01,rico,178,yolombo,carlos
2462,ach02,sony,115,yolombo,carlos
1300,ach03,rico,185,yolombo,rosa
1702,ach03,kalley,194,"medellin,",carlos
9597,ach02,rico,186,"medellin,",jaime
8155,ach03,kalley,152,caucacia,rosa
3966,ach03,kalley,174,bello,luzma
6360,ach01,rico,119,caucacia,jairo
9304,ach02,rico,131,caucacia,rosa
1559,ach03,kalley,184,yolombo,luzma
8355,ach03,sony,164,bello,rosa
4190,ach03,kalley,198,"medellin,",jaime
4735,ach01,kalley,185,bolombolo,luzma
2131,ach03,rico,135,yolombo,jaime
5109,ach01,kalley,117,yolombo,jairo
288,ach03,rico,105,"medellin,",jaime
7506,ach02,kalley,179,bello,carlos
4552,ach03,rico,173,yolombo,carlos
1262,ach03,sony,103,caucacia,jaime
2143,ach02,rico,142,yolombo,carlos
5075,ach02,sony,113,yolombo,jairo
1597,ach02,rico,138,yolombo,luzma
4044,ach01,kalley,116,yolombo,jairo
6956,ach02,sony,139,bolombolo,rosa
2717,ach03,rico,140,caucacia,luzma
5040,ach03,sony,136,bolombolo,rosa
6027,ach03,kalley,100,bolombolo,jairo
7521,ach02,rico,179,"medellin,",jairo
5589,ach03,sony,104,bolombolo,carlos
6425,ach01,sony,162,"medellin,",carlos
5147,ach02,rico,123,caucacia,jairo
580,ach01,kalley,134,yolombo,carlos
6393,ach03,sony,140,bolombolo,carlos
1362,ach03,kalley,181,caucacia,jairo
4421,ach02,kalley,131,"medellin,",jaime
5754,ach02,sony,145,yolombo,rosa
4710,ach02,sony,180,bello,rosa
4057,ach01,kalley,141,caucacia,luzma
8978,ach02,sony,176,caucacia,carlos
1716,ach03,kalley,193,"medellin,",luzma
6677,ach02,rico,120,"medellin,",jaime
2319,ach02,sony,107,bello,jairo
2125,ach03,kalley,164,yolombo,carlos
3972,ach02,sony,146,"medellin,",jairo
3491,ach02,rico,194,caucacia,rosa
2505,ach02,rico,126,caucacia,carlos
4822,ach02,sony,199,caucacia,rosa
3945,ach01,sony,116,bello,luzma
8084,ach03,sony,166,yolombo,jaime
8625,ach01,sony,159,caucacia,jaime
9611,ach01,rico,153,bello,jairo
1805,ach03,sony,189,yolombo,jairo
8434,ach01,kalley,184,bolombolo,jairo
2202,ach02,rico,124,bolombolo,jaime
3533,ach03,rico,113,bolombolo,luzma
5620,ach02,kalley,191,"medellin,",jairo
2023,ach03,kalley,160,bello,jaime
4243,ach01,sony,111,"medellin,",carlos
8211,ach02,rico,122,caucacia,luzma
2492,ach03,kalley,149,bolombolo,luzma
6349,ach01,rico,153,yolombo,carlos
6661,ach02,kalley,153,bolombolo,carlos
5900,ach01,sony,156,bello,luzma
8036,ach02,sony,161,bolombolo,carlos
7578,ach01,kalley,105,yolombo,jairo
3317,ach01,sony,169,caucacia,jairo
3430,ach01,rico,198,bello,jaime
7340,ach02,rico,167,yolombo,jaime
2631,ach03,rico,189,bolombolo,jairo
1539,ach01,sony,100,"medellin,",jaime
1330,ach02,kalley,175,caucacia,luzma
9683,ach01,kalley,137,bolombolo,rosa
1583,ach03,kalley,156,bolombolo,jaime
3820,ach01,kalley,131,bolombolo,luzma
202,ach01,rico,187,yolombo,luzma
3078,ach03,kalley,197,yolombo,jairo
7357,ach02,kalley,194,caucacia,carlos
5015,ach01,kalley,196,yolombo,rosa
4803,ach01,sony,163,bolombolo,jairo
6713,ach01,sony,134,caucacia,jaime
7621,ach02,rico,123,"medellin,",jaime
1189,ach03,sony,136,caucacia,rosa
8746,ach03,kalley,177,caucacia,jaime
1569,ach03,rico,134,yolombo,luzma
595,ach01,sony,177,bolombolo,carlos
9192,ach03,sony,185,bolombolo,rosa
3378,ach01,sony,191,"medellin,",luzma
4384,ach01,sony,140,bello,rosa
3815,ach03,kalley,197,bolombolo,luzma
2434,ach01,sony,134,bolombolo,jaime
1948,ach03,sony,127,yolombo,jaime
2572,ach02,sony,163,bolombolo,rosa
619,ach03,sony,109,caucacia,jaime
4517,ach03,rico,144,"medellin,",rosa
8100,ach03,rico,143,"medellin,",luzma
9925,ach01,rico,152,bolombolo,carlos
255,ach01,sony,193,caucacia,rosa
615,ach02,rico,130,"medellin,",carlos
3452,ach03,kalley,136,bolombolo,carlos
3600,ach02,kalley,142,caucacia,luzma
7002,ach01,kalley,136,"medellin,",rosa
1838,ach01,kalley,198,caucacia,rosa
4256,ach03,rico,135,bolombolo,carlos
4900,ach03,kalley,144,caucacia,rosa
6879,ach02,sony,163,"medellin,",carlos
1342,ach02,kalley,117,caucacia,jairo
9654,ach01,sony,137,bolombolo,carlos
5404,ach01,rico,186,"medellin,",carlos
655,ach03,rico,131,yolombo,jaime
7284,ach03,kalley,185,yolombo,carlos
8014,ach03,sony,118,yolombo,jaime
843,ach02,kalley,148,"medellin,",rosa
6228,ach03,sony,152,yolombo,jairo
4114,ach01,kalley,143,caucacia,rosa
9282,ach01,kalley,116,bello,rosa
1118,ach03,kalley,185,"medellin,",carlos
9443,ach01,kalley,182,caucacia,jairo
5780,ach02,sony,108,bello,carlos
2642,ach02,rico,103,"medellin,",jaime
8022,ach01,kalley,158,caucacia,jaime
4811,ach03,kalley,157,yolombo,luzma
111,ach03,kalley,189,bello,rosa
5053,ach01,kalley,200,bello,rosa
814,ach02,kalley,136,bolombolo,jairo
8775,ach01,sony,139,bello,carlos
6022,ach01,kalley,143,bolombolo,jairo
9927,ach01,kalley,114,bello,luzma
3969,ach02,rico,130,"medellin,",jaime
9361,ach01,rico,148,bello,jaime
5587,ach02,sony,196,bello,rosa
6515,ach03,sony,186,caucacia,carlos
8038,ach02,sony,108,"medellin,",carlos
2691,ach03,rico,144,yolombo,jairo
6810,ach03,rico,120,yolombo,luzma
6886,ach01,sony,169,bello,rosa
5591,ach03,kalley,151,yolombo,carlos
2772,ach02,kalley,199,yolombo,rosa
5836,ach01,kalley,129,caucacia,rosa
5736,ach01,kalley,111,yolombo,carlos
7476,ach02,rico,180,"medellin,",jairo
8239,ach01,kalley,161,bolombolo,carlos
5879,ach01,kalley,196,bolombolo,luzma
9262,ach02,kalley,165,bolombolo,jaime
367,ach02,kalley,100,"medellin,",luzma
4720,ach03,sony,160,bolombolo,carlos
777,ach03,sony,161,caucacia,rosa
7959,ach01,sony,146,caucacia,jaime
1275,ach01,kalley,121,caucacia,jairo
7615,ach02,kalley,135,bolombolo,carlos
917,ach01,rico,171,yolombo,jairo
3648,ach01,rico,183,bello,jairo
7528,ach01,sony,162,bello,rosa
1001,ach01,sony,174,"medellin,",luzma
190,ach02,kalley,122,yolombo,jaime
634,ach03,rico,141,bolombolo,luzma
6279,ach03,rico,118,bolombolo,jaime
4224,ach02,sony,140,"medellin,",carlos
7087,ach01,kalley,137,"medellin,",luzma
4097,ach01,rico,183,bolombolo,carlos
9805,ach02,sony,168,yolombo,jaime
8604,ach01,rico,167,bolombolo,rosa
8528,ach01,rico,110,"medellin,",carlos
2188,ach03,sony,181,bello,jaime
3451,ach01,sony,150,bolombolo,jaime
8630,ach02,kalley,181,bolombolo,rosa
8908,ach03,kalley,149,caucacia,rosa
4546,ach01,sony,193,caucacia,jaime
2035,ach02,sony,103,yolombo,carlos
1712,ach03,rico,114,yolombo,rosa
77,ach02,kalley,110,"medellin,",jairo
5711,ach01,rico,121,bolombolo,rosa
3883,ach03,sony,154,bolombolo,luzma
8697,ach02,sony,157,yolombo,carlos
7828,ach02,rico,200,"medellin,",rosa
6819,ach01,kalley,188,bello,rosa
8363,ach03,sony,165,bello,carlos
1402,ach02,kalley,100,bolombolo,luzma
5077,ach03,kalley,124,bello,jaime
4825,ach03,rico,157,bello,jairo
818,ach01,rico,122,caucacia,rosa
1096,ach01,kalley,140,yolombo,rosa
631,ach03,kalley,178,bolombolo,jairo
4284,ach03,kalley,157,bolombolo,jairo
5822,ach02,sony,167,caucacia,rosa
6385,ach02,kalley,131,bello,rosa
8687,ach02,sony,191,yolombo,carlos
8273,ach01,sony,177,"medellin,",jaime
7843,ach02,sony,110,"medellin,",jairo
7161,ach03,rico,143,bello,carlos
4708,ach02,sony,148,"medellin,",jaime
3140,ach02,rico,113,bello,rosa
7143,ach01,rico,134,yolombo,carlos
3175,ach03,kalley,126,bello,jaime
5458,ach03,kalley,115,bello,jaime
1730,ach03,rico,116,yolombo,rosa
4661,ach01,rico,113,"medellin,",luzma
796,ach01,kalley,142,bello,carlos
4992,ach03,kalley,143,"medellin,",carlos
2453,ach02,rico,137,"medellin,",rosa
1732,ach03,kalley,102,bolombolo,rosa
6481,ach02,sony,148,yolombo,jairo
7080,ach03,rico,114,caucacia,luzma
7055,ach03,sony,120,"medellin,",rosa
6998,ach03,sony,178,yolombo,rosa
8531,ach02,sony,113,"medellin,",rosa
2303,ach02,sony,126,caucacia,jairo
160,ach03,rico,144,caucacia,luzma
6934,ach02,rico,101,bolombolo,jaime
5441,ach01,sony,162,caucacia,jairo
390,ach01,kalley,104,"medellin,",rosa
3867,ach03,kalley,107,caucacia,carlos
619,ach03,rico,154,"medellin,",carlos
9402,ach01,rico,150,bolombolo,luzma
4667,ach02,rico,160,caucacia,carlos
3036,ach03,rico,139,bello,jairo
1729,ach02,sony,116,bello,luzma
8847,ach01,rico,180,bello,jairo
9403,ach03,kalley,165,caucacia,luzma
4866,ach01,rico,168,"medellin,",luzma
2298,ach03,sony,147,"medellin,",carlos
2275,ach02,kalley,187,yolombo,jairo
4476,ach03,sony,134,"medellin,",rosa
9660,ach03,rico,188,"medellin,",rosa
8877,ach03,kalley,147,caucacia,jaime
6110,ach02,sony,153,"medellin,",rosa
9817,ach02,sony,146,bolombolo,jaime
2737,ach02,rico,109,caucacia,rosa
5115,ach03,sony,146,"medellin,",jairo
9706,ach03,rico,177,"medellin,",luzma
6573,ach03,kalley,141,yolombo,jaime
908,ach03,kalley,154,caucacia,jaime
3696,ach03,sony,199,caucacia,luzma
8783,ach02,sony,149,yolombo,jairo
1861,ach02,sony,159,yolombo,luzma
4857,ach03,sony,163,bolombolo,rosa
9862,ach01,sony,160,bolombolo,rosa
6923,ach02,kalley,179,bolombolo,rosa
1802,ach03,kalley,188,caucacia,carlos
1290,ach02,rico,126,"medellin,",luzma
6078,ach01,sony,146,caucacia,carlos
2672,ach02,sony,179,"medellin,",luzma
9813,ach03,rico,191,caucacia,jairo
5561,ach02,rico,106,bello,rosa
7541,ach01,kalley,113,caucacia,jaime
2203,ach03,kalley,184,bello,rosa
9398,ach01,kalley,118,yolombo,rosa
375,ach02,kalley,168,bello,luzma
900,ach03,sony,184,bello,luzma
4935,ach03,kalley,194,"medellin,",carlos
1047,ach03,rico,136,bolombolo,luzma
6732,ach02,kalley,178,bello,rosa
3644,ach03,sony,123,caucacia,jairo
3750,ach02,sony,159,bolombolo,luzma
5666,ach01,sony,184,yolombo,jairo
2521,ach02,sony,192,bolombolo,carlos
3241,ach03,sony,173,bolombolo,rosa
154,ach01,sony,110,bolombolo,carlos
8171,ach03,rico,168,yolombo,luzma
2512,ach03,rico,138,caucacia,carlos
4949,ach01,rico,173,bello,luzma
6469,ach02,sony,171,yolombo,rosa
9993,ach02,kalley,170,yolombo,rosa
199,ach03,kalley,131,yolombo,carlos
8351,ach01,kalley,181,"medellin,",jaime
9178,ach01,sony,137,caucacia,jaime
2761,ach03,rico,111,caucacia,jaime
5383,ach01,kalley,173,"medellin,",carlos
9683,ach01,sony,122,yolombo,jaime
2900,ach03,kalley,165,"medellin,",luzma
6380,ach01,rico,179,yolombo,jairo
6433,ach02,kalley,177,"medellin,",luzma
2763,ach03,rico,199,yolombo,jaime
8091,ach03,rico,119,bello,luzma
8297,ach01,rico,122,"medellin,",jairo
2332,ach01,kalley,126,yolombo,carlos
3153,ach01,kalley,150,yolombo,jaime
4235,ach02,kalley,141,bello,luzma
8838,ach01,rico,170,bello,jairo
4943,ach03,rico,133,caucacia,jaime
4618,ach01,sony,181,bolombolo,luzma
4746,ach03,kalley,173,bello,luzma
251,ach01,sony,110,bolombolo,luzma
8758,ach02,kalley,186,"medellin,",rosa
5156,ach02,rico,194,yolombo,carlos
8465,ach03,sony,160,caucacia,jaime
4368,ach02,rico,129,"medellin,",jaime
5212,ach02,sony,131,caucacia,jaime
491,ach03,rico,186,bello,carlos
8307,ach01,sony,131,caucacia,carlos
5669,ach01,kalley,157,bolombolo,carlos
8702,ach02,kalley,162,bolombolo,luzma
5554,ach03,rico,195,yolombo,jairo
2663,ach01,rico,141,yolombo,jaime
6161,ach02,kalley,184,caucacia,carlos
6844,ach02,rico,127,caucacia,rosa
5064,ach02,rico,118,bello,jairo
215,ach01,sony,170,caucacia,rosa
7363,ach02,kalley,142,bolombolo,carlos
596,ach03,sony,135,"medellin,",luzma
1556,ach03,sony,113,yolombo,jaime
3590,ach02,sony,199,yolombo,carlos
3855,ach01,kalley,138,caucacia,carlos
1064,ach01,kalley,197,bello,jairo
9647,ach01,kalley,197,"medellin,",jairo
9460,ach01,sony,139,yolombo,jairo
9687,ach02,rico,189,bello,jairo
5253,ach02,rico,114,caucacia,jaime
2327,ach01,sony,130,"medellin,",jaime
9478,ach01,sony,111,bello,jaime
6279,ach02,sony,161,"medellin,",jaime
4649,ach03,rico,149,yolombo,rosa
9872,ach02,sony,183,caucacia,rosa
1369,ach03,sony,131,bello,luzma
5217,ach01,rico,161,bello,luzma
6489,ach02,rico,110,caucacia,rosa
3541,ach01,sony,187,bello,jairo
9939,ach03,sony,139,bolombolo,luzma
4375,ach03,sony,111,bolombolo,luzma
3308,ach03,rico,107,bolombolo,rosa
7933,ach02,sony,148,caucacia,rosa
9230,ach01,kalley,157,caucacia,jairo
8518,ach03,kalley,164,yolombo,luzma
10,ach02,kalley,149,bolombolo,rosa
2731,ach03,sony,102,caucacia,rosa
3250,ach02,sony,187,caucacia,carlos
3613,ach02,kalley,163,caucacia,jairo
1094,ach02,kalley,157,bolombolo,luzma
5698,ach03,sony,173,"medellin,",jairo
2177,ach01,sony,146,bello,rosa
8681,ach02,sony,120,bello,jairo
3653,ach03,sony,157,bello,luzma
2312,ach01,kalley,196,bolombolo,jaime
4471,ach02,rico,168,bello,jaime
1810,ach01,sony,177,bolombolo,jairo
6947,ach03,sony,188,yolombo,rosa
1341,ach03,sony,187,caucacia,carlos
1963,ach03,sony,119,bello,jairo
4817,ach03,sony,138,bello,jaime
5452,ach01,rico,142,"medellin,",rosa
6920,ach02,sony,121,bello,luzma
8283,ach01,sony,132,bello,carlos
4201,ach01,kalley,171,bolombolo,jairo
292,ach03,kalley,121,"medellin,",rosa
1185,ach03,sony,186,yolombo,jaime
1986,ach01,sony,200,bolombolo,jairo
1643,ach01,rico,104,"medellin,",rosa
5980,ach02,kalley,125,bello,jairo
2877,ach03,kalley,132,bello,jaime
6579,ach01,rico,159,bolombolo,rosa
364,ach03,sony,107,"medellin,",jaime
82,ach02,kalley,190,"medellin,",luzma
6467,ach03,sony,161,yolombo,rosa
6998,ach03,sony,104,"medellin,",jaime
9196,ach03,sony,183,"medellin,",carlos
2267,ach01,rico,134,bolombolo,rosa
8267,ach02,rico,141,yolombo,jairo
933,ach03,sony,118,bello,jaime
9441,ach02,kalley,121,yolombo,carlos
969,ach03,rico,183,yolombo,jairo
4374,ach02,kalley,102,bolombolo,rosa
